iter	Passed	Remaining
0	19	19117
1	38	19040
2	54	18042
3	64	16125
4	75	14932
5	85	14127
6	95	13505
7	104	12987
8	114	12598
9	124	12316
10	133	11977
11	142	11699
12	150	11455
13	159	11235
14	168	11042
15	176	10862
16	184	10697
17	193	10536
18	201	10399
19	210	10290
20	219	10245
21	228	10167
22	238	10116
23	248	10087
24	256	9992
25	264	9919
26	272	9838
27	282	9798
28	292	9778
29	300	9725
30	309	9674
31	318	9621
32	326	9575
33	335	9525
34	344	9494
35	353	9457
36	362	9439
37	372	9419
38	381	9399
39	391	9387
40	403	9442
41	414	9447
42	424	9457
43	436	9475
44	450	9557
45	461	9570
46	472	9581
47	484	9606
48	496	9629
49	506	9628
50	516	9608
51	527	9617
52	539	9646
53	551	9666
54	562	9666
55	573	9675
56	583	9655
57	595	9667
58	606	9675
59	617	9678
60	629	9690
61	640	9687
62	649	9665
63	659	9649
64	671	9653
65	681	9648
66	692	9641
67	702	9631
68	713	9621
69	723	9609
70	733	9594
71	742	9569
72	753	9563
73	762	9543
74	772	9524
75	780	9489
76	789	9468
77	800	9461
78	811	9458
79	820	9432
80	830	9418
81	840	9408
82	850	9395
83	860	9378
84	870	9370
85	881	9366
86	883	9269
87	893	9262
88	903	9250
89	912	9228
90	922	9219
91	933	9213
92	944	9206
93	958	9234
94	970	9243
95	984	9267
96	994	9256
97	1004	9248
98	1015	9241
99	1026	9236
100	1036	9223
101	1045	9206
102	1058	9220
103	1069	9213
104	1079	9199
105	1088	9183
106	1096	9155
107	1106	9139
108	1116	9124
109	1124	9097
110	1134	9082
111	1143	9067
112	1151	9038
113	1165	9054
114	1178	9070
115	1192	9089
116	1206	9103
117	1216	9093
118	1227	9087
119	1236	9069
120	1244	9043
121	1254	9029
122	1264	9014
123	1272	8987
124	1281	8969
125	1290	8953
126	1298	8922
127	1308	8911
128	1317	8895
129	1325	8868
130	1335	8855
131	1344	8842
132	1353	8824
133	1361	8800
134	1371	8785
135	1380	8767
136	1387	8742
137	1396	8724
138	1406	8713
139	1414	8690
140	1424	8676
141	1433	8660
142	1441	8636
143	1450	8622
144	1459	8606
145	1468	8588
146	1478	8576
147	1487	8563
148	1495	8539
149	1504	8525
150	1513	8507
